Year,Engineering Diploma Holders,Graduates - Medical*,Graduates - Agriculture*,Graduates  - Veterinary*,Graduates - Science*,Graduates - Engineering*,Graduates - Total,Post-graduates - Medical,Post-graduates - Agriculture,Post-graduates - Veterinary,Post-graduates - Science,Post-graduates - Total
1971,54056,3848,7325,361,99189,19050,129773,105,682,31,10114,10932
1972,59847,5127,9092,200,160644,22808,197871,128,810,7,13642,14587
1973,55215,5664,8913,371,210716,23093,248757,184,959,19,16036,17198
1974,53901,6682,7370,376,215089,19344,248861,238,775,11,17565,18589
1975,55564,7301,7958,511,237607,17316,270693,422,887,4,19374,20687
1976,62447,8249,8285,489,241319,18385,276727,321,911,13,24557,25802
1977,74319,8948,9763,299,265656,19798,304464,385,1064,46,25529,27024
1978,84317,10637,9765,399,281693,20113,322607,627,871,25,25751,27274
1979,87275,12923,10841,433,286639,21781,332617,924,850,35,25788,27597
1980,90306,14809,11375,356,310692,21862,359094,1836,546,66,25651,28099
1981,106183,15536,13046,353,337190,20393,386518,618,762,51,28003,29434
1982,119345,17700,16075,578,353918,22982,411253,799,1009,19,34891,36718
1983,135141,17607,17027,528,379931,23825,438918,1066,1252,15,38822,41155
1984,148985,20636,18938,661,416623,27044,483902,844,1235,18,43500,45597
1985,189836,21800,24437,713,430095,35523,512568,1499,1489,14,54047,57049
1986,232965,26772,26677,864,515342,45226,614881,2194,1672,26,64610,68502
1987,248179,27233,24539,1613,494812,56992,605189,2406,1912,71,67539,71928
1988,298535,24781,26805,1138,500694,63538,616956,2505,2096,52,74173,78826
1989,368561,28051,28860,1619,545552,80198,684280,2818,2320,36,82101,87275
1990,315502,28988,29352,2067,636505,95563,792475,2743,2672,49,92953,98417
1991,333174,30827,31705,2503,659813,128422,853270,2913,2667,102,90948,96630
1992,407837,28080,29701,2826,675481,141225,877313,3206,3866,139,94332,101543
1993,430577,28560,29529,3328,676099,152015,889531,3334,3932,133,100249,107648
1994,401832,27446,28495,3566,695084,158509,913100,3186,4658,401,104923,113168
1995,421029,28207,31322,3887,704059,168066,935541,3275,4991,433,97715,106414
1996,NA,28600,27800,4400,696900,171400,753300,3300,4700,NULL,103600,111600
1997,NA,33700,33000,5100,873100,186100,1131000,NULL,NULL,NULL,NULL,NULL
1998,553000,31310,36600,5000,784000,180900,1037810,3800,5100,500,120000,129400
1999,NA,46600,35300,6800,966700,212200,1267600,NULL,NULL,NULL,NULL,NULL
2000,731700,46400,35200,6700,963300,211400,1263000,NULL,NULL,NULL,NULL,NULL
2001,762500,47900,36300,6900,993800,218200,1303100,NULL,NULL,NULL,NULL,NULL
2002,648400,46000,34900,6700,954000,209400,1251000,NULL,NULL,NULL,NULL,NULL
2003,690891,48000,37300,5300,997600,218800,1307000,NULL,NULL,NULL,NULL,NULL
2004,730944,47300,36800,5200,984000,215800,1289100,NULL,NULL,NULL,NULL,NULL
2005,773908,48500,37700,5400,1007400,220900,1319900,NULL,NULL,NULL,NULL,NULL
